Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,960.0315287,1075.753738,1204.147632,1237.408871,1273.23434,1300.621448,1361.504937,1480.859647,1632.588617,1736.531194,1773.852825,1924.072411,2083.611308,2147.873031,2197.502669,2324.834419,2398.623774,2513.19036,2556.303847,2620.038646,3028.97868,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.0420716,258.9287913,281.3392064,303.8598636,321.6080523,330.5638413,393.6159876,443.0503048,485.4910353,547.6325523,581.5836874,651.8895278,726.2913423,798.8084157,852.6818786,909.9435478,998.2174927,1124.63496,1198.641367,1201.240986,1367.981353,1466.073044,
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.76226524,31.13399396,39.18721005,49.23513124,57.26596183,69.19995748,80.89145898,97.55465148,130.4890114,177.0140635,199.8628905,236.1329684,281.8871968,318.1740311,346.5789081,381.2735923,385.9622127,403.3728732,445.5640186,495.9194235,526.6021218,,
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.87361135,14.67965387,15.54349915,14.67722501,16.12616522,15.62468819,16.91564467,18.21703543,19.68796734,22.45891721,20.71615808,19.00423715,26.51190617,27.97207668,33.10772469,36.84276786,40.03802332,45.10437931,45.94764884,53.09374996,73.57472699,,
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.45440727,16.89991186,19.95616704,20.06092452,17.65016122,16.73238712,17.30906419,15.83153501,15.618346,12.76396334,11.712924,16.94326045,19.34574294,15.34415079,19.87139356,12.5079299,13.02396783,5.212123571,13.42854284,15.93056204,23.77040203,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.269492481,0.447475733,0.444815221,1.022328376,0.882241178,1.096128405,1.195742044,1.357867105,1.707588166,1.83135757,2.452656521,2.303135812,3.466870389,3.648202788,4.540941557,5.810310909,5.139647666,4.232614769,5.345200437,6.189964959,7.165931465,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.58186958,36.23589295,17.07041091,19.78552378,17.53296338,18.59812128,25.59151646,25.00065126,49.12669169,29.82995417,42.67815242,33.89571416,49.65067543,54.42799522,53.80351462,49.77587719,44.1618015,39.42927979,25.99122698,43.45233888,68.44770255,,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.4791558,305.7058773,307.0003541,327.5749281,333.3117988,362.760373,412.6276269,448.5577243,483.0556134,540.3219757,547.555583,577.0395715,564.3736779,621.1485494,670.643689,705.8328903,740.0106839,781.9669954,827.9442247,907.5612198,970.6283014,,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.69704698,9.820076462,18.24169045,16.52731038,15.47047636,14.39179581,13.64338014,12.31389818,9.79661094,8.730126593,8.940809719,23.57704155,21.12223829,18.44255542,16.02073761,13.44670114,17.52595556,21.89867383,25.60574076,28.43869277,25.96457958,,
